"UCT";"GROUP";"AGE"
1;"0";29
3;"1";25
3;"0";27
1;"1";40
5;"1";29
3;"1";25
4;"0";23
2;"0";55
3;"1";35
2;"0";36
3;"0";23
1;"0";60
3;"0";35
4;"0";33
2;"1";43
1;"1";32
2;"1";34
3;"0";29
2;"0";32
3;"1";25
2;"0";39
2;"0";51
3;"1";22
2;"1";57
3;"1";42
2;"1";20
3;"1";29
3;"0";26
1;"0";42
1;"0";24
3;"0";25
2;"0";33
1;"1";22
4;"0";20
3;"0";24
2;"1";23
3;"0";19
3;"1";18
3;"1";32
1;"1";18
2;"1";37
4;"0";21
3;"1";27
2;"0";33
2;"0";47
4;"1";31
3;"0";42
2;"0";20
2;"1";28
1;"0";24
4;"1";24
3;"0";29
2;"0";21
3;"0";21
2;"1";66
3;"1";32
3;"1";19
5;"0";31
3;"0";20
1;"1";35
3;"1";28
2;"1";22
4;"1";53
3;"0";44
1;"0";23
3;"1";20
3;"1";26
4;"0";26
3;"1";30
1;"0";33
2;"0";25
3;"1";33
1;"0";32
3;"0";39
2;"0";29
3;"0";19
3;"0";41
3;"0";22
2;"0";38
5;"0";25
1;"0";30
2;"0";19
4;"1";35
2;"1";31
3;"0";19
4;"1";25
1;"0";28
2;"1";58
4;"1";28
2;"1";26
2;"0";22
3;"0";27
2;"1";25
3;"0";30
2;"0";61
3;"0";44
3;"0";28
3;"1";27
4;"0";33
2;"1";28
3;"1";29
3;"0";28
3;"0";60
2;"0";29
1;"0";48
1;"1";23
4;"1";37
2;"1";29
3;"0";30
5;"1";30
4;"1";27
3;"0";30
3;"1";30
2;"0";22
3;"0";31
1;"0";50
2;"0";22
3;"1";48
3;"1";34
6;"1";21
1;"0";28
1;"0";55
2;"0";26
4;"0";36
3;"0";29
3;"1";24
3;"1";29
4;"1";22
2;"0";26
2;"0";26
1;"0";24
2;"0";45
3;"0";31
2;"1";26
2;"1";40
2;"1";21
1;"0";28
2;"1";33
2;"1";30
5;"1";30
3;"1";29
1;"0";56
3;"1";53
2;"1";22
4;"1";28
3;"0";27
3;"0";37
5;"1";26
2;"1";30
2;"0";23
2;"1";39
3;"0";44
2;"1";34
2;"0";18
2;"0";40
1;"1";35
3;"1";36
3;"0";32
3;"0";28
2;"0";24
3;"0";44
3;"0";21
2;"1";26
2;"0";29
2;"0";32
3;"0";23
2;"1";32
3;"1";60
2;"0";53
3;"0";24
1;"1";23
3;"0";20
2;"0";50
3;"1";19
2;"0";32
1;"1";25
3;"0";19
4;"0";25
1;"1";37
2;"0";19
3;"1";19
2;"1";28
3;"0";53
3;"0";44
4;"1";30
2;"1";44
3;"1";43
2;"1";23
2;"0";18
3;"1";40
2;"1";54
4;"0";28
2;"0";24
1;"1";52
3;"0";31
1;"1";29
4;"0";35
4;"0";22
3;"1";21
4;"0";33
2;"0";32
2;"0";31
1;"1";22
3;"1";45
4;"1";23
3;"0";35
2;"0";35
3;"0";42
3;"0";34
2;"0";34
3;"0";26
2;"0";21
4;"1";64
2;"1";26
4;"1";22
1;"1";38
2;"0";39
3;"1";30
2;"1";38
3;"1";34
4;"1";31
1;"1";22
3;"0";24
3;"0";21
3;"0";32
2;"1";23
1;"1";45
2;"1";27
5;"1";23
2;"1";21
2;"1";35
4;"1";27
3;"0";26
3;"1";27
4;"1";22
2;"0";28
4;"1";21
3;"0";26
2;"1";26
4;"0";43
4;"1";29
3;"1";45
2;"1";54
2;"1";32
1;"0";34
2;"0";61
6;"1";30
2;"0";49
4;"0";49
3;"0";19
2;"1";28
3;"0";20
4;"0";25
2;"0";29
2;"0";30
2;"1";27
4;"1";26
1;"0";27
2;"1";32
3;"0";23
3;"0";28
3;"0";44
3;"0";23
2;"0";25
2;"1";20
3;"0";61
1;"1";61
4;"1";30
4;"1";28
3;"0";27
1;"1";20
1;"0";31
5;"1";25
2;"1";33
2;"0";22
4;"1";46
3;"0";28
3;"0";36
2;"1";31
5;"1";25
3;"1";27
2;"1";24
3;"1";28
3;"1";37
2;"0";49
4;"1";29
4;"1";29
3;"0";40
2;"0";64
4;"1";30
2;"0";19
3;"0";30
3;"0";36
3;"1";28
5;"1";36
5;"0";57
3;"1";24
3;"0";27
4;"1";56
4;"1";35
3;"1";28
2;"1";38
3;"1";33
2;"0";27
1;"1";27
1;"0";23
4;"1";21
3;"1";34
3;"1";32
4;"1";31
3;"1";63
3;"1";47
3;"0";27
2;"1";25
4;"1";23
4;"0";20
5;"1";21
3;"1";33
2;"0";21
4;"1";30
2;"1";26
5;"1";27
1;"1";46
3;"1";49
2;"1";39
4;"1";27
4;"0";21
3;"0";29
3;"1";37
4;"1";30
5;"1";40
4;"1";23
4;"1";32
2;"0";48
3;"0";33
4;"0";20
2;"0";40
2;"1";34
3;"1";28
2;"0";24
1;"0";30
6;"1";26
4;"0";26
3;"0";37
3;"1";43
5;"1";31
3;"1";37
2;"1";22
3;"1";35
2;"1";36
2;"1";20
1;"1";27
2;"1";49
3;"0";36
2;"0";57
2;"0";26
4;"1";22
3;"0";27
1;"0";42
3;"1";42
3;"1";24
1;"0";28
4;"0";35
3;"1";25
3;"0";24
3;"1";24
4;"1";30
3;"1";32
3;"0";24
2;"0";37
4;"1";23
4;"1";23
2;"1";28
2;"0";19
3;"1";27
3;"0";29
3;"0";21
3;"0";40
1;"1";28
2;"0";30
3;"0";42
3;"0";29
3;"0";58
1;"0";30
5;"1";41
4;"0";35
2;"0";24
3;"0";32
3;"0";27
3;"1";27
4;"0";26
2;"1";27
3;"1";31
3;"0";44
2;"0";60
2;"1";23
1;"1";30
4;"1";29
2;"0";28
3;"1";39
2;"0";32
1;"1";27
2;"1";26
4;"1";23
3;"1";34
5;"0";24
3;"0";31
3;"1";25
3;"0";24
4;"0";32
3;"0";24
2;"0";19
3;"1";42
4;"1";21
2;"0";38
3;"0";25
1;"1";32
3;"1";30
4;"0";25
3;"0";39
3;"0";41
3;"0";22
4;"1";26
6;"1";19
4;"0";50
2;"0";34
2;"1";41
1;"0";50
2;"0";30
4;"1";24
1;"1";23
5;"1";28
4;"0";26
4;"1";19
3;"0";32
4;"0";34
2;"0";19
2;"1";33
5;"1";20
3;"1";47
4;"1";33
2;"0";43
3;"0";28
2;"1";60
2;"0";48
1;"1";25
2;"0";33
3;"0";25
1;"0";36
5;"1";23
2;"1";24
2;"0";60
3;"1";36
5;"1";23
2;"0";49
1;"0";23
2;"0";26
4;"0";34
3;"0";34
1;"0";30
2;"1";23
2;"1";45
3;"1";38
2;"0";31
2;"0";41
4;"1";24
2;"1";50
2;"1";20
2;"0";31
4;"1";24
1;"0";57
2;"0";31
1;"1";30
4;"0";20
2;"0";20
2;"0";21
4;"1";26
2;"0";25
3;"0";34
5;"1";23
3;"0";20
3;"0";22
3;"1";38
3;"1";27
2;"1";25
2;"1";36
1;"0";26
2;"1";25
3;"1";34
3;"1";27
3;"0";22
3;"0";26
4;"1";29
1;"0";36
2;"0";19
3;"0";35
2;"1";21
2;"0";29
4;"0";52
2;"0";24
5;"1";41
5;"1";22
3;"0";49
3;"0";41
1;"1";23
3;"1";33
2;"0";21
4;"0";37
2;"1";32
1;"1";44
3;"0";29
3;"0";25
3;"0";35
2;"1";34
2;"0";31
2;"1";26
3;"1";25
2;"1";25
4;"1";20
3;"1";27
3;"1";20
4;"1";28
4;"0";28
2;"0";27
5;"1";21
1;"0";30
2;"0";33
4;"1";22
3;"1";28
2;"0";24
1;"0";33
3;"1";24
3;"1";24
2;"1";45
4;"1";41
3;"1";20
2;"0";23
3;"0";21
2;"0";29
2;"0";25
3;"1";20
4;"1";29
4;"0";24
2;"0";24
3;"0";33
3;"1";24
4;"0";29
4;"1";21
1;"0";34
4;"1";28
1;"0";42
2;"1";43
3;"1";30
3;"1";33
2;"1";22
5;"0";19
1;"0";62
4;"1";34
2;"0";33
5;"1";26
2;"1";40
4;"1";45
1;"0";30
2;"0";31
3;"1";28
3;"0";37
3;"0";30
2;"0";29
1;"0";30
4;"1";27
2;"1";28
3;"0";25
2;"0";27
2;"0";36
3;"1";38
2;"0";28
3;"0";52
3;"0";55
3;"1";27
3;"1";32
4;"1";23
2;"1";35
3;"1";44
3;"1";40
2;"0";22
3;"1";26
4;"0";19
1;"0";63
2;"1";27
3;"0";20
4;"0";28
3;"1";20
3;"0";37
5;"1";24
3;"0";28
2;"0";22
4;"1";29
2;"0";23
1;"0";23
3;"1";37
2;"0";31
2;"1";38
3;"0";51
3;"0";63
2;"0";23
3;"0";23
2;"1";28
2;"0";67
2;"1";58
1;"0";61
2;"1";20
3;"0";35
4;"0";31
2;"1";58
4;"1";24
3;"0";40
3;"0";21
2;"0";23
1;"1";41
3;"0";36
4;"1";25
2;"0";30
2;"1";50
1;"0";35
3;"0";23
3;"0";28
2;"1";48
2;"1";24
1;"1";32
1;"0";31
3;"1";29
1;"1";29
2;"1";58
4;"1";26
3;"0";30
2;"0";55
3;"0";33
3;"1";20
3;"0";23
3;"1";29
1;"1";41
4;"1";24
2;"0";28
3;"1";31
6;"1";26
2;"0";34
4;"1";25
3;"1";23
3;"1";33
1;"1";32
1;"0";23
2;"0";24
2;"1";29
2;"0";31
2;"1";56
2;"1";61
3;"1";24
3;"1";29
2;"0";26
2;"1";19
3;"1";28
3;"0";29
4;"0";23
3;"1";32
3;"1";30
4;"0";22
2;"0";25
4;"1";51
3;"0";24
3;"1";20
3;"1";31
2;"0";28
1;"0";41
2;"0";29
3;"1";52
2;"1";27
2;"1";48
2;"0";26
1;"1";28
3;"1";42
3;"0";34
3;"1";34
3;"0";18
2;"0";20
5;"1";24
2;"1";36
2;"0";38
2;"0";52
2;"1";30
2;"1";25
2;"0";29
5;"1";21
4;"1";23
5;"1";28
2;"0";45
2;"0";29
3;"1";23
3;"0";26
3;"0";22
1;"0";24
3;"1";21
3;"0";25
2;"1";20
4;"0";25
2;"0";27
2;"0";22
4;"1";32
3;"0";31
3;"1";30
4;"1";31
2;"0";26
1;"1";28
3;"0";31
1;"1";45
4;"0";33
2;"0";29
3;"1";38
3;"1";48
2;"1";34
4;"0";60
2;"1";54
2;"0";23
3;"0";18
1;"0";25
1;"1";34
4;"1";39
4;"0";32
4;"1";19
1;"0";29
2;"0";35
4;"1";43
2;"0";31
3;"0";42
1;"0";57
3;"0";29
3;"1";32
2;"1";40
1;"0";42
2;"0";23
2;"0";40
2;"0";26
4;"1";23
5;"1";28
3;"1";38
3;"1";33
2;"0";41
5;"1";23
2;"1";53
1;"0";34
4;"0";22
2;"1";34
4;"1";21
1;"0";18
4;"1";42
3;"0";24
3;"1";21
3;"0";23
4;"1";27
4;"1";30
2;"1";32
4;"1";27
4;"0";24
3;"1";24
2;"1";40
3;"0";41
2;"0";26
3;"1";27
2;"0";26
2;"1";40
5;"1";64
1;"1";25
4;"1";31
4;"0";26
1;"1";50
3;"1";28
3;"1";23
3;"1";26
2;"0";44
4;"0";24
3;"1";68
3;"1";40
6;"1";24
2;"1";56
3;"1";23
4;"1";19
1;"1";54
2;"0";37
2;"1";29
4;"0";26
3;"1";29
3;"1";26
1;"0";60
2;"1";25
3;"0";24
3;"1";54
3;"1";29
3;"0";28
1;"1";29
2;"0";36
1;"1";30
3;"1";24
2;"0";31
4;"0";29
2;"0";31
1;"0";25
2;"1";28
5;"1";25
1;"0";30
5;"0";22
1;"0";33
3;"0";24
2;"1";30
4;"0";33
3;"1";26
2;"0";48
2;"0";37
2;"0";26
1;"1";28
1;"0";39
2;"1";24
3;"1";27
2;"0";43
3;"1";40
2;"0";28
3;"0";52
2;"1";35
3;"0";29
2;"0";39
1;"0";27
1;"0";40
3;"1";49
3;"1";23
2;"0";35
2;"1";31
5;"1";23
2;"0";30
2;"0";27
4;"1";21
4;"1";29
2;"0";20
3;"1";20
3;"0";33
4;"1";30
3;"0";22
2;"1";25
3;"0";19
3;"1";26
2;"0";26
3;"1";25
2;"0";25
2;"1";22
1;"0";34
4;"0";31
1;"1";57
4;"1";19
3;"1";37
2;"1";61
2;"0";33
1;"0";24
3;"0";24
3;"1";39
3;"1";34
2;"0";57
2;"0";36
2;"1";39
3;"0";31
2;"0";22
2;"0";58
3;"1";29
4;"0";18
4;"0";19
2;"1";46
3;"0";19
3;"0";25
3;"1";25
3;"1";43
3;"0";23
2;"1";34
4;"1";31
2;"1";23
4;"0";22
4;"1";26
3;"1";32
3;"0";26
2;"1";27
5;"0";26
3;"0";30
3;"1";21
1;"1";27
4;"1";21
3;"1";36
2;"1";44
3;"1";28
3;"1";18
2;"0";41
3;"0";46
2;"0";25
4;"1";43
3;"0";25
2;"0";24
3;"0";37
2;"1";22
2;"0";26
2;"1";47
2;"1";39
3;"1";23
2;"0";22
1;"0";26
1;"1";33
2;"1";23
2;"1";53
1;"1";74
3;"0";28
1;"1";24
2;"0";47
3;"1";36
3;"1";24
3;"1";27
2;"0";23
2;"0";20
5;"1";32
4;"0";35
3;"1";35
2;"0";28
5;"1";28
3;"1";32
2;"1";26
3;"1";31
4;"0";43
4;"1";28
4;"1";22
2;"0";30
2;"1";33
3;"0";25
2;"1";49
3;"0";25
1;"0";52
3;"1";52
4;"1";38
3;"0";25
1;"1";46
2;"1";31
2;"0";29
4;"0";38
2;"0";25
2;"0";41
2;"1";24
2;"1";22
4;"1";20
2;"1";36
1;"0";24
3;"1";30
2;"1";25
3;"1";36
2;"0";44
3;"0";21
3;"1";29
3;"0";31
5;"0";31
3;"0";27
2;"1";38
4;"0";35
2;"0";25
4;"0";28
1;"0";24
3;"1";21
2;"0";44
1;"1";28
2;"0";32
3;"1";43
2;"1";42
2;"1";28
3;"1";49
2;"0";60
4;"1";29
2;"1";29
3;"1";25
3;"0";30
3;"0";18
3;"0";25
2;"1";30
2;"1";32
3;"1";23
3;"1";39
4;"1";33
3;"1";30
3;"1";21
3;"0";22
4;"1";28
4;"1";31
1;"0";22
2;"1";22
1;"1";32
3;"0";47
2;"0";61
3;"1";25
3;"0";29
2;"0";23
3;"0";23
2;"1";33
2;"1";41
3;"0";30
4;"1";32
1;"1";31
1;"1";31
3;"1";21
2;"1";53
3;"0";32
2;"0";19
3;"1";24
3;"0";28
2;"1";25
3;"1";26
2;"0";47
2;"0";30
2;"1";29
2;"0";29
2;"0";43
1;"1";49
2;"0";25
2;"0";34
3;"1";22
2;"0";22
4;"0";26
3;"0";27
2;"0";33
4;"0";23
1;"1";32
3;"0";24
3;"1";26
4;"0";22
3;"0";22
3;"0";25
1;"0";25
2;"1";28
3;"0";23
1;"0";38
2;"0";24
5;"1";27
3;"1";25
2;"0";29
3;"1";29
2;"0";26
3;"0";32
3;"1";32
2;"1";24
4;"1";28
5;"1";20
1;"0";22
2;"1";28
3;"1";23
3;"0";26
3;"1";19
3;"0";54
3;"0";25
4;"0";27
2;"1";27
3;"1";36
2;"0";34
3;"0";24
3;"1";52
1;"0";37
2;"0";29
3;"0";29
3;"1";24
4;"0";22
2;"1";28
3;"0";19
2;"0";22
4;"1";19
4;"1";22
4;"1";25
3;"1";32
2;"1";33
2;"0";18
2;"1";24
1;"1";63
3;"1";58
1;"0";29
2;"1";32
5;"0";27
2;"0";28
3;"0";21
2;"0";56
4;"1";29
3;"0";26
2;"0";30
2;"1";33
3;"0";19
5;"1";18
1;"1";25
4;"0";29
1;"1";33
2;"0";29
4;"0";65
2;"1";50
2;"0";32
1;"0";40
1;"1";26
4;"0";22
3;"0";32
3;"0";30
2;"0";46
4;"0";29
3;"0";32
5;"1";20
3;"1";31
3;"0";29
3;"0";30
3;"1";36
2;"0";27
3;"1";28
4;"1";25
2;"0";32
3;"0";45
2;"1";35
2;"1";23
2;"0";25
3;"0";24
3;"1";28
3;"1";38
2;"1";31
1;"1";37
2;"0";46
2;"1";48
1;"0";36
1;"0";47
2;"1";48
2;"0";32
2;"0";47
4;"0";27
3;"1";23
3;"0";21
1;"1";29
2;"1";26
2;"0";49
3;"0";35
3;"1";26
3;"1";25
5;"1";21
4;"1";23
5;"1";30
3;"0";26
3;"0";34
1;"1";30
3;"0";21
2;"0";29
3;"1";46
2;"0";28
2;"0";30
2;"0";28
3;"1";23
3;"1";19
3;"0";52
3;"0";55
2;"1";26
3;"1";22
3;"0";30
2;"1";68
4;"0";44
1;"1";51
3;"1";50
2;"1";27
4;"1";23
3;"1";42
3;"0";27
4;"0";36
2;"1";22
3;"1";21
3;"1";31
1;"1";52
3;"1";22
2;"0";41
2;"0";19
2;"0";32
1;"1";32
2;"0";27
2;"0";49
3;"0";26
3;"1";22
1;"1";23
1;"0";40
1;"1";30
2;"0";37
3;"1";30
4;"0";26
1;"1";31
2;"0";46
3;"0";49
4;"1";24
3;"0";62
3;"1";24
4;"0";35
3;"0";28
2;"1";24
2;"0";33
5;"1";21
2;"1";28
3;"0";32
2;"1";25
5;"1";21
2;"0";24
2;"1";34
2;"1";53
1;"1";28
1;"1";35
4;"1";31
1;"0";25
2;"0";31
3;"0";33
3;"0";22
2;"0";27
5;"1";33
1;"0";33
3;"0";38
3;"1";18
2;"0";28
4;"1";45
3;"1";20
3;"0";48
4;"1";25
4;"0";31
2;"0";20
2;"1";21
3;"0";52
2;"1";47
2;"0";26
4;"1";41
3;"0";48
3;"1";32
4;"0";27
1;"1";43
3;"0";32
4;"0";29
3;"1";30
3;"0";32
2;"0";24
3;"1";29
4;"1";37
1;"0";36
4;"0";40
2;"0";28
2;"0";25
3;"0";24
3;"0";31
3;"0";21
2;"1";30
3;"1";19
2;"1";32
3;"0";22
2;"1";24
1;"0";29
3;"1";34
6;"1";25
2;"1";46
4;"1";21
1;"0";20
4;"1";20
4;"0";31
2;"1";56
2;"0";32
2;"0";21
2;"1";24
2;"1";32
6;"1";20
3;"0";20
3;"0";31
3;"1";35
2;"1";28
3;"1";21
4;"1";22
3;"0";35
1;"0";33
3;"0";59
1;"1";28
3;"1";24
3;"0";32
3;"0";37
2;"0";30
1;"0";31
2;"0";29
2;"0";31
2;"1";28
2;"1";21
3;"0";19
2;"0";30
3;"0";21
2;"1";27
2;"0";45
2;"1";33
4;"1";41
3;"1";23
3;"1";34
6;"1";25
2;"0";36
3;"0";64
2;"0";23
3;"0";42
3;"0";29
2;"1";29
3;"1";28
2;"1";38
3;"1";26
4;"1";47
3;"0";32
5;"1";48
3;"1";34
2;"1";46
2;"1";35
3;"1";32
2;"0";54
3;"1";28
2;"0";22
1;"0";44
2;"0";30
4;"0";49
4;"0";24
1;"1";24
2;"0";24
2;"0";26
2;"1";23
4;"1";31
3;"1";51
2;"1";31
2;"0";23
3;"1";49
3;"0";27
3;"1";45
3;"0";21
1;"1";56
2;"0";27
3;"1";21
3;"1";29
1;"0";25
3;"1";24
2;"0";25
2;"0";22
3;"1";35
3;"1";29
3;"0";30
3;"0";35
2;"0";65
4;"0";26
2;"0";33
2;"1";30
2;"0";23
4;"1";23
1;"0";21
3;"0";35
2;"1";21
3;"1";28
2;"0";34
2;"0";28
2;"0";26
4;"1";27
1;"0";59
2;"1";41
3;"0";24
1;"0";29
3;"0";32
2;"1";44
3;"1";26
4;"0";24
2;"0";21
3;"1";25
3;"0";23
3;"0";38
4;"0";20
3;"1";31
2;"1";35
2;"1";33
3;"1";23
2;"0";60
2;"0";30
3;"0";37
2;"1";28
4;"0";28
2;"1";27
3;"0";28
3;"0";34
2;"0";45
