"UCT";"GROUP";"OWNER"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
1;"1";"YES"
3;"1";"YES"
2;"1";"YES"
4;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
5;"1";"YES"
3;"0";"YES"
1;"1";"NO"
1;"1";"YES"
4;"1";"YES"
5;"0";"YES"
2;"1";"YES"
2;"0";"NO"
2;"0";"NO"
3;"1";"YES"
2;"0";"YES"
2;"1";"YES"
2;"1";"YES"
4;"1";"YES"
3;"1";"YES"
1;"0";"YES"
4;"0";"YES"
3;"0";"YES"
4;"1";"YES"
3;"1";"YES"
2;"1";"NO"
1;"1";"NO"
3;"0";"YES"
4;"1";"YES"
2;"0";"YES"
3;"0";"YES"
4;"0";"YES"
4;"1";"YES"
3;"0";"YES"
1;"0";"NO"
3;"0";"YES"
1;"1";"NO"
4;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
1;"0";"YES"
1;"0";"NO"
3;"1";"YES"
1;"1";"NO"
3;"0";"YES"
1;"1";"NO"
1;"0";"NO"
4;"0";"YES"
4;"1";"YES"
2;"0";"YES"
2;"1";"NO"
1;"0";"NO"
2;"1";"NO"
3;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"NO"
4;"0";"YES"
2;"0";"YES"
1;"0";"YES"
2;"1";"YES"
4;"1";"NO"
3;"0";"YES"
3;"0";"YES"
5;"1";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
1;"0";"YES"
4;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"0";"YES"
1;"0";"YES"
4;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
2;"1";"YES"
3;"1";"YES"
1;"1";"NO"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
1;"1";"NO"
1;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
1;"0";"YES"
3;"0";"YES"
2;"1";"YES"
5;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
4;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"1";"YES"
5;"1";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"YES"
2;"0";"YES"
4;"0";"YES"
4;"0";"NO"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"YES"
4;"0";"YES"
4;"0";"YES"
1;"1";"YES"
2;"0";"NO"
4;"1";"NO"
3;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"NO"
2;"1";"YES"
1;"0";"YES"
3;"1";"YES"
2;"0";"YES"
1;"0";"YES"
3;"0";"YES"
3;"1";"YES"
4;"1";"YES"
2;"1";"YES"
4;"1";"YES"
5;"1";"YES"
3;"0";"YES"
2;"1";"YES"
1;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
4;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
2;"1";"YES"
3;"1";"YES"
3;"1";"NO"
3;"1";"YES"
2;"0";"NO"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
4;"1";"YES"
2;"0";"NO"
2;"0";"YES"
4;"0";"NO"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
1;"0";"NO"
2;"0";"YES"
1;"0";"NO"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
4;"0";"YES"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
1;"1";"YES"
3;"1";"YES"
2;"1";"NO"
3;"0";"YES"
4;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"1";"YES"
1;"0";"YES"
3;"1";"YES"
3;"1";"YES"
5;"1";"YES"
3;"1";"YES"
3;"0";"YES"
4;"1";"YES"
1;"0";"YES"
3;"1";"YES"
3;"0";"YES"
2;"1";"NO"
4;"1";"YES"
1;"1";"YES"
2;"1";"NO"
3;"1";"YES"
2;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
2;"1";"YES"
6;"1";"YES"
3;"1";"YES"
1;"0";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
4;"1";"YES"
1;"1";"YES"
1;"0";"NO"
4;"1";"YES"
1;"0";"YES"
2;"1";"YES"
1;"0";"YES"
2;"0";"YES"
2;"0";"NO"
4;"1";"YES"
1;"1";"YES"
1;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"NO"
3;"1";"YES"
1;"0";"NO"
2;"0";"NO"
2;"0";"YES"
3;"0";"YES"
4;"0";"YES"
4;"1";"YES"
2;"0";"YES"
2;"1";"NO"
1;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"0";"NO"
4;"1";"YES"
2;"0";"YES"
1;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"1";"YES"
5;"1";"YES"
3;"0";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"NO"
2;"0";"YES"
2;"0";"NO"
2;"1";"YES"
3;"0";"YES"
3;"1";"YES"
4;"0";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
4;"1";"YES"
4;"1";"YES"
2;"1";"YES"
2;"1";"YES"
4;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
1;"1";"YES"
2;"1";"YES"
1;"0";"NO"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
2;"1";"NO"
2;"0";"YES"
4;"1";"YES"
3;"1";"YES"
2;"1";"YES"
1;"1";"YES"
3;"1";"YES"
5;"0";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"1";"YES"
4;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
5;"0";"YES"
4;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"1";"YES"
2;"1";"YES"
2;"1";"YES"
4;"0";"YES"
2;"0";"NO"
1;"1";"YES"
2;"1";"YES"
2;"0";"YES"
4;"0";"YES"
2;"1";"NO"
2;"1";"YES"
2;"1";"NO"
3;"1";"YES"
5;"1";"YES"
2;"0";"YES"
5;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"1";"YES"
5;"1";"YES"
2;"1";"YES"
2;"0";"NO"
3;"0";"YES"
3;"0";"YES"
5;"1";"YES"
2;"0";"YES"
1;"1";"YES"
1;"0";"YES"
2;"0";"NO"
2;"0";"YES"
4;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"1";"YES"
2;"0";"NO"
4;"1";"YES"
2;"1";"NO"
4;"0";"YES"
3;"0";"YES"
2;"1";"YES"
4;"1";"YES"
4;"1";"YES"
4;"1";"YES"
1;"0";"YES"
1;"1";"YES"
2;"0";"YES"
2;"1";"YES"
4;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"NO"
3;"0";"YES"
1;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
3;"1";"YES"
4;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"1";"NO"
6;"1";"YES"
4;"0";"YES"
4;"0";"YES"
2;"1";"NO"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
1;"1";"YES"
3;"1";"YES"
1;"0";"YES"
2;"1";"YES"
2;"0";"YES"
1;"0";"YES"
3;"0";"YES"
2;"1";"YES"
4;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
4;"1";"YES"
1;"0";"NO"
3;"1";"YES"
2;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
1;"0";"YES"
3;"1";"YES"
3;"1";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"YES"
4;"0";"YES"
4;"1";"YES"
1;"1";"YES"
4;"0";"YES"
5;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
4;"0";"NO"
3;"0";"YES"
3;"1";"YES"
1;"0";"NO"
2;"1";"NO"
2;"1";"YES"
1;"0";"YES"
2;"0";"YES"
3;"1";"YES"
1;"1";"YES"
2;"1";"YES"
4;"0";"YES"
4;"0";"NO"
5;"1";"YES"
2;"0";"YES"
3;"1";"YES"
5;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
4;"1";"YES"
4;"1";"YES"
1;"0";"YES"
2;"0";"YES"
5;"0";"YES"
3;"0";"YES"
4;"1";"YES"
2;"0";"YES"
1;"1";"YES"
3;"0";"YES"
3;"1";"YES"
1;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"YES"
5;"1";"YES"
4;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
1;"0";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"NO"
2;"0";"YES"
1;"1";"YES"
3;"1";"YES"
4;"0";"YES"
2;"1";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
1;"0";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"NO"
3;"0";"YES"
3;"0";"YES"
4;"0";"YES"
5;"1";"YES"
4;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"YES"
6;"1";"YES"
2;"0";"YES"
4;"1";"YES"
3;"1";"YES"
1;"0";"YES"
5;"1";"YES"
3;"0";"NO"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
4;"0";"YES"
2;"1";"YES"
3;"1";"YES"
5;"1";"YES"
2;"0";"YES"
2;"1";"YES"
2;"1";"YES"
3;"1";"YES"
3;"0";"YES"
4;"1";"YES"
4;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
3;"1";"YES"
4;"1";"YES"
1;"1";"YES"
4;"1";"YES"
2;"0";"YES"
2;"0";"YES"
3;"1";"YES"
2;"0";"YES"
4;"1";"YES"
3;"1";"NO"
3;"1";"YES"
3;"1";"NO"
4;"0";"YES"
2;"1";"YES"
4;"0";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
3;"1";"YES"
2;"1";"YES"
1;"0";"YES"
3;"0";"YES"
3;"0";"YES"
1;"0";"NO"
1;"0";"YES"
4;"1";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
2;"1";"NO"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"0";"YES"
1;"0";"YES"
3;"1";"YES"
3;"0";"YES"
4;"0";"YES"
3;"1";"YES"
1;"0";"NO"
4;"1";"YES"
4;"1";"YES"
3;"0";"YES"
3;"1";"YES"
4;"1";"YES"
2;"0";"YES"
4;"1";"YES"
4;"1";"YES"
4;"0";"YES"
5;"1";"YES"
3;"0";"YES"
4;"1";"YES"
1;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
5;"1";"YES"
2;"1";"YES"
3;"0";"YES"
3;"1";"YES"
1;"1";"NO"
3;"0";"YES"
5;"1";"YES"
6;"1";"YES"
3;"1";"YES"
5;"1";"YES"
3;"0";"YES"
2;"0";"YES"
1;"0";"NO"
2;"0";"YES"
1;"1";"YES"
2;"0";"YES"
2;"1";"YES"
4;"1";"YES"
4;"1";"YES"
4;"1";"YES"
3;"1";"YES"
4;"0";"YES"
3;"1";"YES"
2;"0";"NO"
2;"0";"YES"
4;"0";"YES"
4;"0";"YES"
3;"1";"YES"
2;"1";"YES"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
1;"0";"NO"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
2;"1";"YES"
3;"0";"NO"
4;"0";"YES"
2;"0";"NO"
4;"1";"YES"
3;"1";"YES"
1;"0";"YES"
2;"1";"YES"
5;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
5;"1";"YES"
4;"1";"YES"
1;"1";"NO"
3;"1";"NO"
1;"1";"NO"
2;"0";"YES"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
4;"0";"YES"
2;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
2;"0";"YES"
2;"1";"YES"
1;"1";"YES"
4;"0";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
4;"0";"YES"
2;"1";"NO"
4;"1";"YES"
1;"0";"NO"
2;"1";"YES"
2;"1";"NO"
2;"0";"YES"
2;"1";"YES"
1;"1";"YES"
3;"0";"YES"
4;"1";"YES"
3;"1";"YES"
4;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
2;"1";"NO"
3;"0";"YES"
4;"1";"YES"
1;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"0";"NO"
1;"0";"NO"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"1";"YES"
2;"0";"YES"
4;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
4;"0";"YES"
3;"0";"NO"
1;"1";"NO"
4;"0";"YES"
2;"0";"YES"
1;"1";"NO"
1;"1";"YES"
2;"1";"YES"
2;"1";"YES"
2;"0";"NO"
5;"1";"YES"
1;"0";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
2;"0";"YES"
1;"1";"YES"
4;"1";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
2;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"0";"NO"
4;"1";"YES"
5;"1";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
1;"0";"YES"
3;"1";"YES"
3;"1";"YES"
1;"0";"YES"
4;"0";"YES"
3;"1";"YES"
2;"0";"YES"
4;"0";"YES"
3;"1";"YES"
1;"0";"YES"
1;"0";"YES"
2;"0";"YES"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
1;"1";"YES"
1;"0";"NO"
2;"0";"YES"
2;"1";"YES"
1;"0";"NO"
2;"0";"YES"
5;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"NO"
1;"1";"YES"
1;"1";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
3;"0";"YES"
3;"0";"YES"
4;"0";"YES"
1;"1";"YES"
2;"0";"YES"
2;"0";"YES"
1;"0";"NO"
3;"0";"YES"
1;"1";"NO"
2;"0";"YES"
5;"1";"YES"
3;"1";"YES"
2;"1";"YES"
5;"0";"YES"
4;"1";"YES"
4;"0";"YES"
1;"1";"YES"
3;"1";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
1;"0";"NO"
2;"1";"YES"
2;"1";"YES"
1;"0";"NO"
2;"1";"NO"
4;"0";"YES"
3;"0";"YES"
3;"1";"YES"
1;"0";"NO"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
2;"0";"YES"
4;"0";"NO"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
1;"1";"YES"
3;"0";"YES"
2;"1";"NO"
3;"1";"YES"
3;"1";"YES"
2;"0";"YES"
4;"1";"YES"
4;"0";"YES"
5;"1";"YES"
1;"0";"NO"
2;"0";"YES"
1;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
1;"1";"YES"
2;"0";"NO"
1;"0";"YES"
2;"0";"YES"
5;"1";"YES"
2;"0";"YES"
4;"1";"YES"
2;"0";"YES"
1;"0";"NO"
3;"1";"YES"
3;"0";"NO"
3;"1";"YES"
5;"1";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"YES"
4;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"0";"YES"
1;"1";"YES"
2;"1";"YES"
2;"0";"YES"
3;"1";"YES"
1;"1";"NO"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
4;"0";"YES"
3;"0";"NO"
1;"0";"YES"
1;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"1";"NO"
3;"0";"YES"
4;"0";"YES"
1;"1";"NO"
4;"0";"YES"
2;"0";"YES"
4;"1";"YES"
4;"0";"YES"
1;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
4;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
4;"1";"YES"
3;"0";"YES"
5;"0";"YES"
4;"0";"YES"
2;"1";"YES"
3;"1";"YES"
4;"0";"YES"
3;"0";"YES"
2;"1";"NO"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
2;"1";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
1;"1";"YES"
1;"0";"YES"
4;"1";"YES"
2;"0";"NO"
3;"0";"YES"
2;"0";"NO"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
4;"1";"YES"
2;"1";"YES"
2;"1";"YES"
3;"1";"YES"
5;"1";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
5;"1";"YES"
3;"0";"YES"
3;"1";"NO"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
1;"1";"NO"
6;"1";"YES"
4;"0";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"NO"
2;"0";"YES"
3;"1";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"NO"
2;"1";"NO"
2;"1";"YES"
1;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"NO"
2;"1";"YES"
2;"0";"YES"
5;"1";"YES"
1;"1";"YES"
4;"1";"YES"
3;"0";"YES"
4;"0";"YES"
3;"1";"YES"
3;"1";"YES"
1;"1";"YES"
2;"0";"YES"
2;"0";"YES"
1;"1";"YES"
1;"0";"NO"
3;"0";"YES"
3;"0";"YES"
4;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"NO"
4;"1";"YES"
3;"0";"YES"
1;"1";"YES"
3;"1";"NO"
3;"0";"YES"
3;"1";"YES"
2;"0";"YES"
2;"1";"YES"
3;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"1";"YES"
1;"1";"YES"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
4;"1";"YES"
2;"0";"YES"
1;"0";"NO"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
4;"1";"YES"
1;"1";"YES"
2;"0";"YES"
2;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
5;"1";"YES"
3;"1";"YES"
1;"1";"YES"
2;"1";"YES"
4;"1";"YES"
2;"0";"YES"
2;"1";"YES"
1;"1";"YES"
2;"0";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"NO"
4;"0";"YES"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
5;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
1;"0";"YES"
3;"1";"YES"
4;"1";"YES"
3;"0";"YES"
5;"1";"YES"
1;"0";"NO"
3;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"1";"NO"
6;"1";"YES"
3;"0";"YES"
1;"0";"YES"
4;"0";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
4;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
1;"0";"YES"
5;"1";"YES"
3;"1";"YES"
2;"0";"YES"
3;"0";"YES"
4;"1";"YES"
1;"0";"YES"
1;"1";"NO"
4;"1";"YES"
1;"0";"NO"
2;"1";"NO"
3;"0";"YES"
1;"1";"YES"
3;"1";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
2;"1";"NO"
1;"1";"YES"
2;"0";"YES"
2;"1";"YES"
4;"1";"YES"
1;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
1;"0";"NO"
4;"0";"YES"
5;"1";"YES"
5;"1";"YES"
1;"1";"NO"
4;"0";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
4;"0";"YES"
3;"0";"YES"
1;"0";"YES"
2;"0";"YES"
1;"0";"NO"
3;"1";"YES"
2;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
1;"1";"YES"
3;"0";"YES"
4;"1";"YES"
3;"0";"YES"
3;"1";"YES"
3;"0";"YES"
3;"1";"YES"
2;"1";"YES"
2;"1";"YES"
3;"0";"YES"
5;"0";"YES"
1;"1";"NO"
2;"0";"YES"
2;"0";"NO"
2;"1";"YES"
4;"1";"YES"
3;"1";"YES"
2;"1";"YES"
1;"0";"NO"
4;"0";"YES"
2;"0";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"1";"NO"
4;"1";"YES"
3;"0";"YES"
2;"0";"YES"
1;"0";"YES"
2;"1";"YES"
3;"0";"YES"
5;"1";"YES"
1;"0";"NO"
4;"0";"YES"
2;"0";"YES"
4;"0";"YES"
1;"1";"NO"
4;"1";"YES"
2;"1";"YES"
5;"1";"YES"
2;"0";"YES"
2;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"1";"YES"
1;"1";"YES"
2;"0";"YES"
2;"0";"YES"
2;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"0";"YES"
1;"0";"YES"
4;"1";"YES"
3;"1";"YES"
2;"0";"YES"
4;"0";"YES"
3;"0";"YES"
4;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"NO"
2;"1";"YES"
3;"0";"YES"
6;"1";"YES"
2;"0";"YES"
2;"1";"NO"
3;"1";"YES"
2;"1";"NO"
3;"0";"YES"
2;"1";"NO"
5;"0";"YES"
3;"0";"NO"
2;"0";"YES"
3;"0";"YES"
3;"0";"YES"
4;"0";"YES"
2;"1";"YES"
4;"0";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
3;"1";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
3;"1";"YES"
3;"1";"YES"
2;"0";"NO"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
2;"1";"YES"
3;"1";"YES"
2;"1";"YES"
4;"0";"YES"
1;"0";"NO"
2;"1";"NO"
2;"0";"YES"
2;"0";"YES"
4;"1";"NO"
2;"1";"YES"
1;"0";"YES"
3;"1";"YES"
1;"0";"YES"
1;"0";"NO"
2;"0";"YES"
1;"1";"YES"
2;"1";"YES"
2;"1";"YES"
2;"0";"YES"
4;"1";"YES"
2;"0";"YES"
2;"1";"YES"
2;"1";"YES"
2;"1";"YES"
1;"1";"NO"
4;"1";"YES"
3;"1";"YES"
3;"0";"YES"
6;"1";"YES"
3;"0";"YES"
2;"0";"YES"
3;"1";"YES"
4;"0";"YES"
2;"1";"YES"
4;"1";"YES"
3;"1";"YES"
2;"1";"YES"
2;"0";"YES"
3;"0";"YES"
1;"1";"YES"
1;"1";"YES"
4;"1";"YES"
2;"0";"YES"
3;"0";"YES"
4;"1";"YES"
3;"0";"YES"
2;"1";"YES"
5;"1";"YES"
3;"0";"YES"
3;"1";"YES"
1;"0";"NO"
4;"1";"YES"
6;"1";"YES"
1;"0";"YES"
3;"0";"YES"
2;"0";"YES"
2;"0";"YES"
4;"1";"YES"
3;"0";"YES"
2;"1";"YES"
3;"0";"YES"
4;"1";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
4;"1";"YES"
4;"1";"YES"
2;"1";"NO"
4;"0";"YES"
2;"1";"YES"
2;"0";"YES"
2;"0";"YES"
3;"0";"YES"
2;"1";"NO"
1;"1";"YES"
3;"0";"YES"
3;"0";"YES"
2;"1";"NO"
2;"1";"NO"
2;"0";"NO"
2;"1";"YES"
2;"1";"YES"
2;"1";"YES"
5;"1";"YES"
3;"0";"YES"
3;"1";"YES"
3;"1";"YES"
